name_gene	h0	h4	h8	h12
DEI1_P450	1.666666667	1	1.333333333	1.333333333
MYX1_P450	0.333333333	3.333333333	0.333333333	0.333333333
PRO1_chqB	239.3333333	304	295	59.33333333
PRO1_P450	322	456.6666667	125.6666667	213
SDB1_chqB	49.66666667	29	7	5
SDB1_sadA	5.666666667	37.66666667	17.66666667	10
SDB1_sadB	20.33333333	76.33333333	30	8
SDB1_sadC	36	28	16	28
SDB2_sadA	5	3.666666667	1.666666667	2
SDB3_sadA	6	3.666666667	1.333333333	2.666666667
SDB4_sadA	4	1.666666667	2	4
SDB6_sadB	339	1021.333333	704.3333333	381.6666667
SDB6_sadC	45114.66667	40746	39356	15053.66667
SDB7_P450	0	12.33333333	2	0
